Извлечение обложек - включено
В Индексе таблицы каталогов отсутсвует 'path'

[root@dsgate py]# ../speed
books   books_min
2841    223.9947

Error extract cover from file: 271403.fb2

Books added      :  2841
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  12  minutes,  40  seconds.
         123559147 function calls (112906817 primitive calls) in 760.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.000    0.000 configparser.py:389(before_get)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:285(_lock_unlock_module)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1147(<genexpr>)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        6    0.000    0.000    0.000    0.000 decimal.py:556(__new__)
        8    0.000    0.000    0.000    0.000 {built-in method print}
       82    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       38    0.000    0.000    0.000    0.000 {built-in method is_builtin}
       56    0.000    0.000    0.000    0.000 {built-in method is_frozen}
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        2    0.000    0.000    0.171    0.086 __init__.py:26(<module>)
        1    0.000    0.000    0.029    0.029 configparser.py:119(<module>)
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
      127    0.000    0.000    0.000    0.000 {built-in method ord}
       15    0.000    0.000    0.000    0.000 {built-in method any}
       16    0.000    0.000    0.108    0.007 <frozen importlib._bootstrap>:509(set_loader_wrapper)
       15    0.000    0.000    0.000    0.000 decimal.py:3924(_set_integer_check)
        1    0.000    0.000    0.005    0.005 errors.py:25(<module>)
        1    0.000    0.000    0.002    0.002 base64.py:3(<module>)
       40    0.000    0.000    0.000    0.000 sre_compile.py:471(isstring)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:280(cb)
        1    0.000    0.000    0.000    0.000 {built-in method mkdir}
       54    0.000    0.000    0.000    0.000 sre_parse.py:136(__setitem__)
       41    0.000    0.000    0.000    0.000 {built-in method getlower}
       20    0.000    0.000    0.000    0.000 sre_parse.py:69(__init__)
        1    0.000    0.000    0.059    0.059 network.py:25(<module>)
        1    0.000    0.000    0.001    0.001 cp866.py:3(<module>)
        6    0.000    0.000    0.000    0.000 optparse.py:590(_set_opt_strings)
        6    0.000    0.000    0.000    0.000 decimal.py:3938(_set_signal_dict)
       41    0.000    0.000    0.000    0.000 {built-in method _fix_co_filename}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1332(__init__)
        4    0.000    0.000    0.000    0.000 locale.py:339(normalize)
        1    0.000    0.000    0.000    0.000 connection.py:74(MySQLConnection)
        9    0.000    0.000    0.000    0.000 {built-in method round}
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1244(_path_hooks)
       20    0.000    0.000    0.000    0.000 sre_parse.py:726(fix_flags)
        1    0.000    0.000    0.011    0.011 lzma.py:9(<module>)
        9    0.000    0.000    0.000    0.000 os.py:671(__getitem__)
